,order_id,item_id,product_id,quantity,list_price,discount,total_price
0,1,1,20,1,599.99,0.2,599.99
1,1,2,8,2,1799.99,0.07,3599.98
2,1,3,10,2,1549.0,0.05,3098.0
3,1,4,16,2,599.99,0.05,1199.98
4,1,5,4,1,2899.99,0.2,2899.99
5,2,1,20,1,599.99,0.07,599.99
6,2,2,16,2,599.99,0.05,1199.98
7,3,1,3,1,999.99,0.05,999.99
8,3,2,20,1,599.99,0.05,599.99
9,4,1,2,2,749.99,0.1,1499.98
10,5,1,10,2,1549.0,0.05,3098.0
13,5,2,17,1,429.0,0.07,429.0
14,5,3,26,1,599.99,0.07,599.99
15,6,1,18,1,449.0,0.07,449.0
16,6,2,12,2,549.99,0.05,1099.98
17,6,3,20,1,599.99,0.1,599.99
18,6,4,3,2,999.99,0.07,1999.98
19,6,5,9,2,2999.99,0.07,5999.98
20,7,1,15,1,529.99,0.07,529.99
21,7,2,3,1,999.99,0.1,999.99
22,7,3,17,2,429.0,0.1,858.0
27,8,1,22,1,269.99,0.05,269.99
28,8,2,20,2,599.99,0.07,1199.98
29,9,1,7,2,3999.99,0.1,7999.98
30,10,1,14,1,269.99,0.1,269.99
31,11,1,8,1,1799.99,0.05,1799.99
32,11,2,22,2,269.99,0.1,539.98
33,11,3,16,2,599.99,0.2,1199.98
34,12,1,4,2,2899.99,0.1,5799.98
35,12,2,11,1,1680.99,0.05,1680.99
36,13,1,13,1,269.99,0.1,269.99
37,13,2,17,2,429.0,0.05,858.0
38,13,3,20,2,599.99,0.1,1199.98
39,13,4,16,2,599.99,0.05,1199.98
40,14,1,6,1,469.99,0.07,469.99
41,15,1,12,2,549.99,0.07,1099.98
42,15,2,8,1,1799.99,0.07,1799.99
43,15,3,18,2,449.0,0.05,898.0
44,15,4,23,2,299.99,0.2,599.98
45,16,1,8,1,1799.99,0.2,1799.99
46,16,2,21,1,269.99,0.05,269.99
47,16,3,13,2,269.99,0.07,539.98
48,16,4,14,1,269.99,0.07,269.99
49,17,1,8,1,1799.99,0.07,1799.99
50,17,2,23,1,299.99,0.1,299.99
51,17,3,5,1,1320.99,0.1,1320.99
52,17,4,20,2,599.99,0.2,1199.98
53,18,1,2,2,749.99,0.2,1499.98
54,18,2,22,1,269.99,0.05,269.99
55,18,3,7,1,3999.99,0.1,3999.99
56,18,4,25,2,499.99,0.05,999.98
57,18,5,9,2,2999.99,0.1,5999.98
58,19,1,10,1,1549.0,0.07,1549.0
59,19,2,9,2,2999.99,0.2,5999.98
60,20,1,9,1,2999.99,0.07,2999.99
61,20,2,10,2,1549.0,0.07,3098.0
62,21,1,14,1,269.99,0.05,269.99
63,21,2,17,1,429.0,0.1,429.0
64,21,3,10,1,1549.0,0.07,1549.0
65,22,1,15,2,529.99,0.2,1059.98
66,22,2,22,1,269.99,0.05,269.99
67,23,1,4,2,2899.99,0.05,5799.98
68,23,2,23,2,299.99,0.1,599.98
69,23,3,13,1,269.99,0.2,269.99
70,24,1,3,2,999.99,0.1,1999.98
71,24,2,18,2,449.0,0.07,898.0
72,25,1,23,2,299.99,0.2,599.98
73,25,2,10,2,1549.0,0.2,3098.0
74,25,3,22,1,269.99,0.2,269.99
75,25,4,14,1,269.99,0.2,269.99
76,25,5,21,1,269.99,0.1,269.99
77,26,1,7,1,3999.99,0.05,3999.99
78,26,2,2,1,749.99,0.2,749.99
79,26,3,12,1,549.99,0.2,549.99
80,26,4,21,2,269.99,0.07,539.98
81,27,1,5,1,1320.99,0.2,1320.99
82,27,2,19,1,449.0,0.2,449.0
83,27,3,26,2,599.99,0.07,1199.98
84,27,4,8,1,1799.99,0.07,1799.99
85,28,1,5,1,1320.99,0.05,1320.99
86,28,2,7,2,3999.99,0.2,7999.98
87,28,3,14,2,269.99,0.1,539.98
88,28,4,6,1,469.99,0.05,469.99
89,29,1,24,2,549.99,0.05,1099.98
90,29,2,6,1,469.99,0.2,469.99
91,29,3,21,2,269.99,0.1,539.98
92,29,4,8,1,1799.99,0.2,1799.99
93,29,5,14,2,269.99,0.05,539.98
94,30,1,26,1,599.99,0.05,599.99
95,30,2,17,1,429.0,0.07,429.0
96,30,3,19,1,449.0,0.1,449.0
97,30,4,4,1,2899.99,0.1,2899.99
98,30,5,7,2,3999.99,0.1,7999.98
99,31,1,11,2,1680.99,0.05,3361.98
100,31,2,9,2,2999.99,0.2,5999.98
101,32,1,8,2,1799.99,0.07,3599.98
102,32,2,12,2,549.99,0.07,1099.98
103,32,3,25,2,499.99,0.1,999.98
104,33,1,23,2,299.99,0.07,599.98
105,33,2,7,1,3999.99,0.1,3999.99
106,34,1,8,2,1799.99,0.07,3599.98
107,34,2,10,2,1549.0,0.1,3098.0
108,34,3,17,2,429.0,0.2,858.0
109,35,1,18,1,449.0,0.05,449.0
110,35,2,20,2,599.99,0.05,1199.98
111,35,3,5,1,1320.99,0.2,1320.99
112,35,4,21,2,269.99,0.07,539.98
113,35,5,22,1,269.99,0.07,269.99
114,36,1,9,1,2999.99,0.07,2999.99
115,36,2,5,1,1320.99,0.05,1320.99
116,36,3,3,2,999.99,0.2,1999.98
117,37,1,16,2,599.99,0.05,1199.98
118,38,1,7,2,3999.99,0.05,7999.98
119,38,2,23,1,299.99,0.07,299.99
120,38,3,25,1,499.99,0.2,499.99
121,38,4,10,2,1549.0,0.1,3098.0
122,38,5,24,1,549.99,0.07,549.99
123,39,1,22,2,269.99,0.2,539.98
124,39,2,16,2,599.99,0.2,1199.98
125,39,3,3,2,999.99,0.05,1999.98
126,39,4,15,1,529.99,0.1,529.99
127,40,1,17,1,429.0,0.2,429.0
128,40,2,8,2,1799.99,0.2,3599.98
129,41,1,5,1,1320.99,0.1,1320.99
130,41,2,19,2,449.0,0.2,898.0
131,41,3,26,2,599.99,0.2,1199.98
132,42,1,19,1,449.0,0.05,449.0
133,43,1,13,2,269.99,0.1,539.98
134,43,2,12,2,549.99,0.05,1099.98
135,44,1,7,1,3999.99,0.1,3999.99
136,44,2,16,1,599.99,0.05,599.99
137,45,1,4,2,2899.99,0.2,5799.98
138,45,2,22,1,269.99,0.07,269.99
139,45,3,21,2,269.99,0.05,539.98
140,46,1,17,1,429.0,0.1,429.0
141,47,1,6,1,469.99,0.05,469.99
142,47,2,15,1,529.99,0.1,529.99
143,47,3,25,2,499.99,0.07,999.98
144,47,4,13,1,269.99,0.2,269.99
145,48,1,11,1,1680.99,0.1,1680.99
146,48,2,4,1,2899.99,0.2,2899.99
147,48,3,5,2,1320.99,0.1,2641.98
148,48,4,14,2,269.99,0.07,539.98
149,49,1,13,2,269.99,0.07,539.98
150,50,1,3,1,999.99,0.05,999.99
151,50,2,26,2,599.99,0.07,1199.98
152,50,3,13,2,269.99,0.2,539.98
153,51,1,13,1,269.99,0.05,269.99
154,51,2,20,1,599.99,0.05,599.99
155,51,3,26,2,599.99,0.2,1199.98
156,52,1,25,1,499.99,0.07,499.99
157,53,1,8,2,1799.99,0.2,3599.98
158,53,2,23,2,299.99,0.05,599.98
159,53,3,14,2,269.99,0.2,539.98
160,53,4,25,2,499.99,0.1,999.98
161,54,1,26,2,599.99,0.2,1199.98
162,54,2,3,1,999.99,0.2,999.99
163,55,1,21,1,269.99,0.05,269.99
164,55,2,25,2,499.99,0.2,999.98
165,55,3,15,2,529.99,0.2,1059.98
166,56,1,20,2,599.99,0.07,1199.98
167,57,1,23,2,299.99,0.1,599.98
168,57,2,19,2,449.0,0.2,898.0
169,57,3,13,1,269.99,0.07,269.99
170,58,1,14,2,269.99,0.05,539.98
171,58,2,18,1,449.0,0.07,449.0
172,58,3,23,1,299.99,0.1,299.99
173,59,1,21,1,269.99,0.05,269.99
174,59,2,2,1,749.99,0.1,749.99
175,59,3,17,2,429.0,0.1,858.0
176,60,1,14,2,269.99,0.05,539.98
177,60,2,4,1,2899.99,0.1,2899.99
178,60,3,15,1,529.99,0.07,529.99
179,60,4,22,1,269.99,0.2,269.99
180,61,1,25,1,499.99,0.1,499.99
181,61,2,15,2,529.99,0.05,1059.98
182,61,3,5,2,1320.99,0.2,2641.98
183,62,1,14,1,269.99,0.07,269.99
184,62,2,8,2,1799.99,0.1,3599.98
185,62,3,22,2,269.99,0.1,539.98
186,63,1,25,2,499.99,0.1,999.98
187,63,2,19,2,449.0,0.05,898.0
188,63,3,3,1,999.99,0.1,999.99
189,64,1,25,2,499.99,0.1,999.98
190,64,2,22,2,269.99,0.2,539.98
191,64,3,23,2,299.99,0.2,599.98
192,64,4,24,2,549.99,0.1,1099.98
193,65,1,12,1,549.99,0.1,549.99
194,66,1,2,1,749.99,0.2,749.99
195,66,2,23,1,299.99,0.07,299.99
196,66,3,12,1,549.99,0.07,549.99
197,67,1,23,2,299.99,0.2,599.98
198,67,2,12,2,549.99,0.1,1099.98
199,67,3,21,1,269.99,0.2,269.99
200,67,4,5,2,1320.99,0.1,2641.98
201,67,5,19,1,449.0,0.2,449.0
202,68,1,13,2,269.99,0.07,539.98
203,68,2,17,1,429.0,0.1,429.0
204,69,1,22,2,269.99,0.1,539.98
205,69,2,5,1,1320.99,0.2,1320.99
206,69,3,10,1,1549.0,0.05,1549.0
207,70,1,3,2,999.99,0.05,1999.98
208,70,2,18,1,449.0,0.2,449.0
209,70,3,20,1,599.99,0.05,599.99
210,71,1,26,2,599.99,0.05,1199.98
211,71,2,24,1,549.99,0.2,549.99
212,71,3,18,1,449.0,0.1,449.0
213,72,1,17,2,429.0,0.07,858.0
214,72,2,12,1,549.99,0.05,549.99
215,72,3,13,2,269.99,0.1,539.98
216,73,1,22,1,269.99,0.07,269.99
217,73,2,26,2,599.99,0.05,1199.98
218,73,3,3,2,999.99,0.07,1999.98
219,73,4,25,1,499.99,0.07,499.99
220,73,5,23,2,299.99,0.2,599.98
221,74,1,16,2,599.99,0.05,1199.98
222,74,2,6,1,469.99,0.07,469.99
223,75,1,3,1,999.99,0.1,999.99
224,75,2,7,2,3999.99,0.07,7999.98
225,75,3,15,1,529.99,0.2,529.99
226,76,1,12,1,549.99,0.05,549.99
227,76,2,11,2,1680.99,0.1,3361.98
228,76,3,5,1,1320.99,0.07,1320.99
229,77,1,20,1,599.99,0.07,599.99
230,77,2,24,2,549.99,0.1,1099.98
231,77,3,26,1,599.99,0.2,599.99
232,77,4,25,1,499.99,0.2,499.99
233,78,1,17,1,429.0,0.07,429.0
234,78,2,19,1,449.0,0.2,449.0
235,78,3,18,2,449.0,0.1,898.0
236,78,4,14,2,269.99,0.1,539.98
237,79,1,9,2,2999.99,0.1,5999.98
238,79,2,17,2,429.0,0.05,858.0
239,79,3,6,1,469.99,0.1,469.99
240,79,4,25,2,499.99,0.07,999.98
241,80,1,26,1,599.99,0.1,599.99
